,Palabras,+Women,+Women (valores),+Men,+Men (valores),+Tokio,+Tokio (valores),+Japan,+Japan (valores)
133,#-#,these,0.6398221850395203,these,0.5755065679550171,these,0.4750039875507355,these,0.5341766476631165
134,#-##,three,0.7979795932769775,three,0.8047896027565002,three,0.6545522809028625,six,0.6807085275650024
135,#-###,During,0.6374315023422241,During,0.6125092506408691,During,0.5491189360618591,During,0.4949426054954529
136,#-###-###-####,these,0.4642733931541443,suchas,0.4658488929271698,suchas,0.39681100845336914,other,0.4460523724555969
137,#-##-#,might,0.6675113439559937,might,0.7029893398284912,might,0.5202521085739136,might,0.6166113018989563
138,#-#-#,extremely,0.7331753969192505,extremely,0.6990125179290771,extremely,0.5937765836715698,extremely,0.5976424813270569
139,#-#-#-#,what,0.5320867300033569,what,0.5937520265579224,what,0.4656224846839905,what,0.4720081388950348
140,#-#/#,Since,0.5882221460342407,Since,0.5140283703804016,Since,0.47199946641921997,Since,0.44794976711273193
141,#-#:##_pm,working,0.5425654649734497,working,0.5835728645324707,working,0.4765251874923706,working,0.4618997573852539
142,#.#,taking,0.5597245693206787,taking,0.6432420015335083,took,0.49293339252471924,taking,0.5536642074584961
143,#.##,ranging,0.541920006275177,inlcuding,0.5146706104278564,includ_ing,0.4946167469024658,other,0.45950502157211304
144,#.###,low,0.626022219657898,low,0.6000359654426575,low,0.4441158175468445,low,0.5708542466163635
145,#.####,she,0.5436248779296875,when,0.5512654781341553,Then,0.42245543003082275,when,0.49869638681411743
146,#.####_gallon,percent,0.64771968126297,per_cent,0.6168503761291504,%_##NY.INST,0.4893815517425537,per_cent,0.5843594074249268
147,#.###_gallon,Next,0.507533073425293,Next,0.5284832715988159,Next,0.45396173000335693,last,0.4362059235572815
148,#.##_ERA,"##,###",0.7686220407485962,"##,###",0.7609911561012268,"##,###",0.6203157305717468,"##,###",0.6522508859634399
149,#.##am,BY,0.6200155019760132,BY,0.6641894578933716,BY,0.5530592203140259,BY,0.5162156820297241
150,#.##m,little,0.5232177972793579,little,0.536616861820221,little,0.4443814158439636,far,0.4565261900424957
151,#.##pm,now,0.47448211908340454,now,0.5297766923904419,stil,0.4465045928955078,though,0.48361122608184814
152,#.#-#.#,come,0.5470491647720337,gone,0.5696585178375244,come,0.44126901030540466,come,0.4661852717399597
153,#.#.#,know,0.582284152507782,suppose,0.6428221464157104,know,0.5392633676528931,probably,0.5264036655426025
154,#.#B,yearold,0.6294277310371399,yearold,0.5801582336425781,yearold,0.532970666885376,yearold,0.4709467887878418
155,#.#M,though,0.5585036277770996,though,0.6076207160949707,actually,0.41386908292770386,though,0.5575458407402039
156,#.#_magnitude_earthquake,##.##,0.7083889245986938,##.##,0.6360427737236023,##.##,0.5865960121154785,#.#,0.5710251331329346
157,#.#bn,globe,0.5986384153366089,theworld,0.5652779936790466,worldâ_€_™,0.3725935220718384,United_States,0.6221762299537659
158,#.#m,seeing,0.4940546452999115,know,0.5433300137519836,know,0.43375110626220703,seeing,0.47372275590896606
159,#.#x,believe,0.5778844356536865,believe,0.6087445020675659,know,0.45451149344444275,believe,0.556895911693573
160,#/##/##,businesses,0.5505297183990479,businesses,0.5431383848190308,busi_ness,0.537683367729187,global,0.47589999437332153
161,#/##/####,six,0.7771329879760742,four,0.8128930926322937,four,0.6498627662658691,six,0.6834211349487305
162,#/#/##,tells,0.5934045314788818,tells,0.55185866355896,tells,0.517648458480835,said,0.47674253582954407
163,#:#,Under,0.5183123350143433,Under,0.5281940698623657,Under,0.4388516843318939,Under,0.431973397731781
164,#:##,them,0.6089412569999695,me,0.5946645736694336,me,0.4866930842399597,them,0.5487303137779236
165,#:##-#:##_pm,2,0.7493226528167725,2,0.7737560272216797,2,0.6498225331306458,2,0.6178638935089111
166,#:##-#_pm,those,0.5791864395141602,those,0.6364972591400146,those,0.4110807180404663,those,0.5921376347541809
167,#:##.#,Otherwise,0.6452748775482178,Unless,0.7188823223114014,Unless,0.545265257358551,Unless,0.5873553156852722
168,#:##.##,##.Help_us,0.5020685791969299,Right,0.4688611626625061,Right,0.40751734375953674,NOTE_Xactly_Incent,0.42411279678344727
169,#:##.###,But,0.6984802484512329,Of_course,0.7401747703552246,Of_course,0.576171875,But,0.630027711391449
170,#:##:##,she,0.6264109015464783,him,0.6891350746154785,I,0.4457952380180359,us,0.5452183485031128
171,#:##_AM_ET,betweeen,0.5650889873504639,beween,0.624900758266449,beween,0.5068442821502686,betwen,0.47346925735473633
172,#:##_PM_EDT,playing,0.569860577583313,playing,0.6906212568283081,plays,0.5171844959259033,playing,0.5426533222198486
173,#:##_PM_EST,tohelp,0.5167046189308167,helping,0.570767879486084,helping,0.4261261224746704,helping,0.45736634731292725
174,#:##_PM_ET,"#,###",0.7892731428146362,"###,###",0.7526607513427734,"#,###",0.6474807262420654,"###,###",0.6737471222877502
175,#Q##,markets,0.6524621248245239,markets,0.6128150224685669,marketplace,0.46954217553138733,markets,0.616030216217041
176,#_#,This,0.6826128959655762,It,0.6881852149963379,It,0.5563164353370667,It,0.5793443322181702
177,#x#,tell,0.6373004913330078,think,0.6251477003097534,tell,0.5178623795509338,think,0.5722548961639404
178,$,ending,0.5416285395622253,ending,0.527525782585144,ends,0.419435977935791,ending,0.5059341192245483
179,%,Associated_Press,0.580866277217865,Map_News,0.6028627157211304,##T##_##:##_Z,0.483448326587677,Map_News,0.5495632290840149
180,%_downside_protection,longer,0.4602946639060974,Long,0.5129634141921997,Long,0.35977640748023987,short,0.45859432220458984
181,&,info,0.5703341960906982,info,0.6500985622406006,info,0.5589063763618469,visit_www.usoncology.com,0.5156338214874268
182,&_P,rebounds,0.6060318946838379,pionts,0.6071693897247314,ponts,0.5806711912155151,point,0.48609641194343567
183,&_T,doesn_t,0.5812908411026001,Does,0.6197142004966736,doens't,0.49938783049583435,Does,0.4993981719017029
184,'##,Both,0.5409010648727417,Both,0.544822633266449,Both,0.431965708732605,Both,0.47079917788505554
185,'##s,There'sa,0.6000851392745972,There'sa,0.6397037506103516,There'sa,0.5447478294372559,_There,0.5082147121429443
186,'S,integral_part,0.4184860587120056,integral_part,0.44415730237960815,integral_part,0.3680316209793091,component,0.4133634865283966
187,'d,across,0.5179845094680786,aound,0.45632675290107727,aroud,0.44107890129089355,across,0.45985284447669983
188,'ll,Police,0.6335287094116211,Police,0.6932731866836548,po_lice,0.5794711112976074,Police,0.5316598415374756
189,'m,do,0.5782793760299683,do,0.6409793496131897,wanted,0.49874359369277954,do,0.5549075603485107
190,'re,`_ve,0.5620510578155518,`_ve,0.6657173037528992,`_ve,0.5006389617919922,have,0.5411337614059448
191,'ve,Based,0.5389175415039062,Based,0.5381639003753662,Based,0.4800388813018799,Based,0.41653960943222046
192,*,visit_www.intralinks.com,0.4803231358528137,With,0.47364190220832825,Call_###.####,0.3762591779232025,for,0.4242169260978699
193,**,gotten,0.6212433576583862,get,0.5831125974655151,gotten,0.4691452980041504,getting,0.5434281826019287
194,***,fourth,0.7416434288024902,fourth,0.7451198101043701,fourth,0.5828890800476074,fourth,0.652358889579773
195,+,elementary,0.6934502720832825,schools,0.6106537580490112,elementary,0.5250787734985352,schools,0.5694155097007751
196,+##,leaving,0.5398557782173157,leaving,0.5674174427986145,leaving,0.46700870990753174,leaving,0.454839289188385
197,+###,anther,0.49310678243637085,this,0.5009908080101013,Another,0.41026198863983154,this,0.4791429936885834
198,+#-###-###-####,nation,0.5725207924842834,nation,0.6229426860809326,town,0.42543166875839233,United_States,0.6543129682540894
199,+#.##_%,needed,0.5980091691017151,needed,0.6180766820907593,want,0.49321743845939636,needed,0.5547060966491699
200,+#.#_%,3,0.7756080627441406,3,0.8000004887580872,4,0.6487292051315308,3,0.6642158031463623
201,+1,strongest,0.5062047839164734,finest,0.5663380026817322,finest,0.4442121386528015,strongest,0.48954886198043823
202,+_+,victory,0.6478013396263123,victory,0.6762998104095459,victory,0.5529488325119019,victory,0.5497292280197144
203,-##,fourthquarter,0.6152036190032959,fourthquarter,0.6120091676712036,quarer,0.4991503655910492,fourthquarter,0.5562548637390137
204,-###,using,0.5865737199783325,using,0.6131690740585327,utilize,0.46130794286727905,using,0.5669788718223572
205,-##.#,tomorrow,0.4958483874797821,tomorrow,0.5762549638748169,tomorrow,0.44486886262893677,tomorrow,0.45051953196525574
206,-#.#,#.#,0.6964207291603088,#.#,0.7255103588104248,###.#,0.575198769569397,#.#,0.6495066285133362
207,-#.##,similar,0.44284093379974365,Same,0.5374541878700256,Same,0.415194571018219,comparable,0.4453029930591583
208,---,pubic,0.6403979063034058,pubic,0.5544776916503906,pubic,0.5313155651092529,pubic,0.4691101312637329
209,----,runs,0.55780428647995,running,0.5451112985610962,runs,0.46207350492477417,runs,0.44152432680130005
210,----------------------------------------------------------,Thursday,0.7775262594223022,Thursday,0.7958869338035583,Thursday,0.6147507429122925,Thursday,0.6928597688674927
211,.##,setting,0.6150373220443726,setting,0.6522940397262573,setting,0.49163904786109924,setting,0.5638590455055237
212,.###,week,0.6531134843826294,week,0.7291613817214966,week,0.5511085391044617,week,0.5978677272796631
213,.###_batting,Top,0.5976883172988892,Top,0.557235598564148,Top,0.49359703063964844,Top,0.4701249301433563
214,....,billon,0.6802279949188232,billon,0.7271574139595032,billon,0.541342556476593,billon,0.6261069774627686
215,.....,Thursday,0.7877075672149658,Wednesday,0.8309614658355713,Wednesday,0.642849326133728,Wednesday,0.7016822695732117
216,......,coming,0.5690948963165283,coming,0.6406223773956299,coming,0.4652935862541199,coming,0.5407872200012207
217,0,Tuesday,0.7927055954933167,Wednesday,0.8219017386436462,Tuesday,0.6422933340072632,Thursday,0.6991008520126343
218,0_0,she,0.783423125743866,He,0.8640683889389038,she,0.5024251937866211,He,0.6116776466369629
219,0_Comments,municipality,0.5947230458259583,citys,0.5829130411148071,town,0.5700859427452087,cities,0.4535660445690155
220,1,palce,0.473132461309433,palce,0.5032392740249634,palce,0.4663549065589905,places,0.41883957386016846
221,1A,evening,0.7015578746795654,evening,0.6379746198654175,evening,0.5974933505058289,evening,0.5135189294815063
222,1B,five,0.7738098502159119,seven,0.8025518655776978,five,0.6497611403465271,seven,0.6602180004119873
223,1Q,Each,0.5590411424636841,Each,0.539967954158783,Each,0.44024503231048584,every,0.48435959219932556
224,1pm,Tuesday,0.7949056625366211,Wednesday,0.8302401900291443,Wednesday,0.6479076743125916,Wednesday,0.7001685500144958
225,1st,"##,###",0.7765862345695496,"##,###",0.7511925101280212,"##,###",0.6419374942779541,"##,###",0.6307050585746765
226,2,Tuesday,0.8032582402229309,Thursday,0.8203567862510681,Tuesday,0.6486741304397583,Thursday,0.7045704126358032
227,2A,Archived_appearances,0.5957953333854675,Archived_appearances,0.5295895338058472,Archived_appearances,0.4712029695510864,we,0.4775213599205017
228,2B,you,0.6602964401245117,you,0.6733732223510742,you,0.5309646129608154,you,0.5781826972961426
229,2D,groups,0.5692532658576965,organization,0.48567402362823486,BGD,0.3932211399078369,groups,0.5011537671089172
230,2Q,definitely,0.6042127013206482,obviously,0.6809802651405334,kinda,0.5188990235328674,obviously,0.5473960041999817
231,2nd,discovered,0.6453392505645752,discovered,0.6023479104042053,discovered,0.5408787727355957,discovered,0.4977015256881714
232,2pm,Thus,0.5580240488052368,Finally,0.5693792104721069,Finally,0.4809339642524719,Yet,0.4997689723968506
233,3,using,0.5363667011260986,utilized,0.6024518013000488,utilized,0.4578734338283539,using,0.544623613357544
234,3A,2,0.7785188555717468,2,0.797260046005249,2,0.674470067024231,2,0.6370342373847961
235,3B,lots,0.6153764128684998,lots,0.5662407875061035,lots,0.5083499550819397,lotof,0.4769935607910156
236,3D,I,0.6012067198753357,I,0.6272232532501221,I'ma,0.5180163383483887,I,0.5510608553886414
237,3G,funds,0.6105823516845703,monies,0.5787473917007446,monies,0.5135253071784973,funds,0.5146747827529907
238,3M,putting,0.6096441149711609,putting,0.6918545365333557,putting,0.5176551342010498,putting,0.5679589509963989
239,3Q,game,0.568995475769043,game,0.6865081787109375,game,0.5016769766807556,game,0.5468878746032715
240,3_PTR,Support,0.5244332551956177,backing,0.559382975101471,suport,0.40202972292900085,supporting,0.4806385040283203
241,3_pointer,programs,0.6362934708595276,programs,0.608748197555542,Program,0.4848858118057251,programs,0.6107280254364014
242,3_pointers,quarter,0.48134735226631165,quarter,0.4964776039123535,minutes,0.36845511198043823,quarter,0.48326924443244934
243,3pm,reports,0.541397750377655,Report,0.5623781681060791,reports,0.4416113793849945,Report,0.4755980372428894
244,3rd,mother,0.6469935178756714,uncle,0.5357027649879456,familiy,0.5608410835266113,relatives,0.47451508045196533
245,3s,weeks,0.7022440433502197,weeks,0.7296038866043091,weeks,0.5618346333503723,weeks,0.6272050142288208
246,4,thenumber,0.5118831396102905,numbers,0.5431306958198547,numer,0.419241726398468,thenumber,0.4968419075012207
247,4A,Officials,0.5846347212791443,officals,0.6449970006942749,officals,0.5154863595962524,Officials,0.49898234009742737
248,4G,pm,0.5063740015029907,'m,0.5292152166366577,RUN_Meets,0.47154271602630615,'m,0.4505721926689148
249,4Q,ex,0.5792310237884521,Former,0.6267640590667725,fomer,0.5649876594543457,Former,0.4956575334072113
